Item Name,Date Posted,Price,Seller Location,Web Link
Mid-Century Modern Lamps * INSTA-SAVINGS * - $30 ea -,Mar  6,$0, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-mid-century-modern/7452335075.html
Mid-Century Modern Lamps * INSTA-SAVINGS * - $55 ea -,Mar  6,$0, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-mid-century-modern/7445846299.html
BROYHILL SCULPTRA MID-CENTURY MODERN WALL MIRROR,Mar  6,$250, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-broyhill-sculptra-mid/7454561792.html
BROYHILL SCULPTRA MID-CENTURY MODERN NIGHTSTAND WITH DRAWER,Mar  5,$295, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-broyhill-sculptra-mid/7454333281.html
Mersman mid-century end table,Mar  5,$30,Florissant ,https://stlouis.craigslist.org/fuo/d/florissant-mersman-mid-century-end-table/7451094801.html
Garrison Mid-Century Danish Modern Dining Table ~ Seats 6,Mar  5,$195, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-garrison-mid-century/7452011047.html
KENT COFFEY PERSPECTA MID-CENTURY MODERN GENTLEMANS CHEST / DRESSER,Mar  4,"$1,695", ,https://stlouis.craigslist.org/fuo/d/maryland-heights-kent-coffey-perspecta/7445636049.html
KENT COFFEY PERSPECTA MID-CENTURY MODERN WALL MIRROR,Mar  4,$595, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-kent-coffey-perspecta/7448661747.html
MID-CENTURY DINING CHAIR (6) ~ STYLE OF EDWARD WORMLEY FOR DUNBAR,Mar  4,"$2,400", ,https://stlouis.craigslist.org/fuo/d/maryland-heights-mid-century-dining/7452012726.html
DREXEL INTERMEZZO MID-CENTURY MODERN NIGHTSTAND / CABINET,Mar  4,$295, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-drexel-intermezzo-mid/7445052101.html
MID-CENTURY BUTTON TUFTED BARREL LOUNGE CHAIR PAIR ~ COLORFUL FABRIC,Mar  4,$795, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-mid-century-button/7448502388.html
DREXEL INTERMEZZO MID-CENTURY MODERN 5-DRAWER DRESSER / CHEST,Mar  4,$795, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-drexel-intermezzo-mid/7445051966.html
Mid-Century Octagonal Wood Side Table/Cabinet,Mar  3,$50,Chesterfield ,https://stlouis.craigslist.org/fuo/d/chesterfield-mid-century-octagonal-wood/7453500628.html
Mid-Century Modern Wood Side Table/Cabinet,Mar  3,$30,Chesterfield ,https://stlouis.craigslist.org/fuo/d/chesterfield-mid-century-modern-wood/7453471985.html
Bassett Mid-Century Modern Full Bedframe bookshelf,Mar  3,$250,Kirkwood ,https://stlouis.craigslist.org/fuo/d/saint-louis-bassett-mid-century-modern/7453445144.html
